"No.","Time","Source","Destination","Protocol","Length","Source Port","Destination Port","Info"
"15467","1214.713204880","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=699354 Ack=1133 Win=64384 Len=1448 TSval=3143615051 TSecr=146466984 [TCP segment of a reassembled PDU]"
"15468","1214.713236536","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=700802 Ack=1133 Win=64384 Len=1448 TSval=3143615051 TSecr=146467006 [TCP segment of a reassembled PDU]"
"15469","1214.713298381","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=702250 Win=242688 Len=0 TSval=146467049 TSecr=3143615051"
"15470","1214.713732413","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=702250 Ack=1133 Win=64384 Len=1448 TSval=3143615051 TSecr=146467006 [TCP segment of a reassembled PDU]"
"15471","1214.713762110","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=703698 Ack=1133 Win=64384 Len=1448 TSval=3143615051 TSecr=146467006 [TCP segment of a reassembled PDU]"
"15472","1214.713768971","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=705146 Ack=1133 Win=64384 Len=1448 TSval=3143615051 TSecr=146467006 [TCP segment of a reassembled PDU]"
"15473","1214.713819084","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=706594 Win=242688 Len=0 TSval=146467050 TSecr=3143615051"
"15474","1214.716379116","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=706594 Ack=1133 Win=64384 Len=1448 TSval=3143615051 TSecr=146467007 [TCP segment of a reassembled PDU]"
"15475","1214.717095002","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=708042 Ack=1133 Win=64384 Len=1448 TSval=3143615051 TSecr=146467007 [TCP segment of a reassembled PDU]"
"15476","1214.717194896","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=709490 Win=242688 Len=0 TSval=146467053 TSecr=3143615051"
"15477","1214.731086732","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=709490 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467037 [TCP segment of a reassembled PDU]"
"15478","1214.731421427","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=710938 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467037 [TCP segment of a reassembled PDU]"
"15479","1214.731473847","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=712386 Win=242688 Len=0 TSval=146467068 TSecr=3143615101"
"15480","1214.732214626","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=712386 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15481","1214.732760137","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=713834 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15482","1214.732874417","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=715282 Win=242688 Len=0 TSval=146467069 TSecr=3143615101"
"15483","1214.733385673","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=715282 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15484","1214.734121868","103.123.234.254","10.42.0.56","TCP","1514","80","47864","80  >  47864 [ACK] Seq=716730 Ack=1133 Win=64384 Len=1448 TSval=3143615101 TSecr=146467038 [TCP segment of a reassembled PDU]"
"15485","1214.734242356","10.42.0.56","103.123.234.254","TCP","66","47864","80","47864  >  80 [ACK] Seq=1133 Ack=718178 Win=242688 Len=0 TSval=146467070 TSecr=3143615101"
